
Tue May  5 11:23:18 2015
Age data: Zhang_2010_S1.txt
Expression data: Alldata_tab.txt
General results:
	The total amount of entrances found and crosslinked was: 12922.
	The total number of entrances not found on Zhang was: 5160.
	The total number of entrances not found from Zhang was: 805 
	Could not find the following entrances in Zhang's file:



CG14893-RA	CG14893	CG14893
HDC19535	---	---
HDC10625	---	---
HDC16221	---	---
HDC15882	---	---
S.C2L001739	---	---
HDC08173	---	---
HDC07670	---	---
CG10833-RA	Cyp28d1	CG10833
CG1324-RA	CG1324	CG1324
HDC07565	---	---
HDC12053	---	---
S.C3R000262	---	---
CG13291-RA	CG13291	CG13291
CG13731-RA	CG13731	CG13731
CT35537	---	---
Dm.3R.44874.0	---	---
HDC02016	---	---
S.C2R002140	---	---
HDC00913	---	---
S.C3R001718	---	---
HDC13963	---	---
S.C2L002195	---	---
S.CX001358	---	---
CG30119-RA	CG30119	CG30119
HDC18875	---	---
HDC11910	---	---
SD02447	---	---
HDC12885	---	---
HDC16501	---	---
CG12386-RA	Try	CG12386
Dm.3R.47416.0	---	---
S.C2R000888	---	---
CT10352	---	---
HDC06907	---	---
HDC16578	---	---
SD10988	---	---
HDC06754	---	---
S.CX002376	---	---
HDC01525	---	---
CG9322-RA	CG9322	CG9322
CG4124-RB	PNUTS	CG4124
HDC19897	---	---
HDC08890	---	---
HDC02900	---	---
Dm.X.55614.0	---	---
Transposon.75	HMS-Beaglepol	HMS-Beaglepol
S.C3L001335	---	---
GM02743	---	---
HDC11397	---	---
HDC20453	---	---
S.CX001079	---	---
HDC12377	---	---
HDC02542	---	---
CG15001-RA	nab	CG15001
Dm.2L.3431.0	---	---
Dm.X.49976.0	---	---
HDC07528	---	---
CG31318-RA	Rpb4	CG31318
HDC15763	---	---
S.CX000069	---	---
Dm.2R.20580.0	---	---
CG31305-RB	---	CG31305
CG31182-RA	CG31182	CG31182
CT34944	---	---
HDC12042	---	---
CG7423-RA	CG7423	CG7423
HDC10999	---	---
HDC11547	---	---
HDC18214	---	---
S.C2R000154	---	---
HDC02130	---	---
S.C3L000707	---	---
S.C3L000683	---	---
S.CX000819	CHES-1-like	CHES-1-like
CG14707-RA	dpr4	CG14707
HDC02049	---	---
S.CX000488	---	---
HDC12612	---	---
HDC06308	---	---
HDC02847	grp	grp
HDC15018	oa2	oa2
HDC18493	---	---
CG30048-RA	CG30048	CG30048
S.C3L001565	---	---
CG15510-RA	CG15510	CG15510
HDC00631	---	---
HDC07864	---	---
CG33045-RA	---	CG33045
CG33290-RA	CG33290	CG33290
CG7242-RA	CG7242	CG7242
HDC07868	---	---
GM03761	---	---
HDC07100	---	---
HDC06541	---	---
Dm.3R.46079.0	---	---
CG15820-RA	CG15820	CG15820
CG12310-RA	CG12310	CG12310
S.C2L001249	---	---
S.C2R002294	---	---
HDC14472	---	---
HDC14824	---	---
CG32794-RA	CG32794	CG32794
S.CX001038	---	---
CG17879-RA	CG40133	CG17879
Dm.2L.9017.0	---	---
S.C2R001717	---	---
HDC14238	---	---
HDC09666	---	---
CG13534-RA	CG13534	CG13534
HDC14891	---	---
CG14499-RA	---	CG14499
HDC09606	---	---
HDC02659	---	---
CG17279-RA	CG17279	CG17279
CG9168-RA	CG9168	CG9168
CG32151-RA	CG32151	CG32151
HDC02762	---	---
CG6069-RA	CG6069	CG6069
HDC12663	---	---
HDC14958	---	---
CG6298-RA	Jon74E	CG6298
HDC11212	---	---
CG32922-RB	---	CG32922
CG4861-RA	LpR1	CG4861
CG40452-RA	Snap25	CG40452
S.CX002342	---	---
HDC14965	---	---
Dm.X.58299.0	---	---
S.C2R002148	---	---
LD12453	seq	seq
Dm.2R.18785.0	---	---
S.C2L002343	---	---
HDC16824	---	---
HDC08293	---	---
HDC11025	---	---
S.C2L000146	---	---
CG31257-RA	CG31257	CG31257
Dm.3R.47607.0	---	---
CG5927-RA	Her	CG5927
HDC09504	---	---
S.C2R000193	---	---
HDC05183	---	---
HDC14022	---	---
S.C3R002462	---	---
AM01168	---	---
HDC13488	---	---
CG15821-RA	---	CG15821
S.CX002146	---	---
S.C3L001718	---	---
HDC01245	---	---
S.C2L002609	CG9270	CG9270
HDC12192	---	---
CG4450-RA	CG4450	CG4450
HDC10259	---	---
HDC02528	---	---
HDC17686	---	---
HDC10981	---	---
Dm.3R.35415.0	---	---
Dm.2L.5091.0	---	---
Dm.X.51212.0	---	---
HDC13905	---	---
S.C3R003591	---	---
CG11369-RA	CG11369	CG11369
HDC19820	---	---
S.C2L002402	---	---
S.C2L000417	---	---
HDC09414	---	---
S.C3R001469	---	---
CG18506-RA	CG18506	CG18506
HDC09438	---	---
LD34846	mnb	mnb
CT34486	---	---
HDC15195	---	---
S.C2L001889	---	---
CG40497-RB	CG40497	CG40497
CG31095-RA	LpR1	CG31095
Dm.X.49779.0	---	---
HDC14588	---	---
HDC14375	---	---
CG10527-RA	CG10527	CG10527
HDC16113	---	---
CG32141-RB	CG32141	CG32141
HDC10294	---	---
S.C3L002202	---	---
HDC02760	---	---
HDC07169	---	---
AM01421	---	---
Dm.2R.18671.0	---	---
CG33175-RH	spri	CG33175
CG30097-RD	Menl-1,Menl-2	CG30097
CG1075-RA	CG1075	CG1075
CG17763-RA	CG17763	CG17763
CG6318-RA	Rad51D	CG6318
S.CX000115	---	---
LP09564	---	---
S.CX000787	---	---
S.C2L000994	---	---
CG15539-RA	CG15539	CG15539
S.C3R000157	---	---
CG31340-RA	CG31340	CG31340
HDC14951	---	---
HDC12511	---	---
HDC14730	---	---
CG31923-RA	CG31923	CG31923
GM05844	---	---
HDC16130	---	---
HDC18578	---	---
CG12677-RA	CG12677	CG12677
SD11801	mod(mdg4)	mod(mdg4)
CG8210-RA	Vha14	CG8210
CG32691-RA	CG32691	CG32691
CG33184-RA	---	CG33184
GM03003	---	---
CG32716-RA	sdt	CG32716
CG31897-RA	CG31897	CG31897
HDC12547	---	---
S.C2R001401	---	---
HDC06306	---	---
Dm.2R.13363.0	---	---
CG31394-RA	CG31394	CG31394
CG32836-RA	CG32836	CG32836
S.C2L002273	---	---
CG31934-RA	CG31934	CG31934
HDC19895	---	---
LD10305	---	---
S.CX000506	ctp	ctp
CT34112	---	---
HDC13170	---	---
S.C2R002573	---	---
HDC17524	---	---
CG5470-RA	CG5470	CG5470
HDC03653	---	---
HDC17458	---	---
CG31662-RA	Gr22a	CG31662
S.C3R002092	---	---
CG12724-RA	CG12724	CG12724
CT34633	---	---
S.CX000661	---	---
Dm.3L.24072.0	---	---
CG1724-RA	CG1724	CG1724
HDC02767	---	---
CT33885	---	---
HDC18593	---	---
S.C2L002500	---	---
HDC06747	---	---
HDC08321	---	---
RH62702	---	---
HDC13282	---	---
Dm.2L.3336.0	---	---
HDC19166	---	---
HDC07433	---	---
HDC12791	---	---
S.C3R001103	---	---
HDC15611	---	---
Dm.2R.14794.0	---	---
S.C3R000114	dpr16	dpr16
CG15362-RA	CG15362	CG15362
HDC19398	---	---
S.C3L000286	---	---
CG18026-RA	Caps	CG18026
CG32384-RA	form3	CG32384
CG32310-RA	CG32310	CG32310
AM01407	---	---
S.C3R000107	---	---
HDC03194	---	---
HDC16008	---	---
HDC14590	---	---
CG11027-RA	Arf102F	CG11027
CG4336-RA	rux	CG4336
Dm.3L.33328.0	---	---
CG13662-RA	CG13662	CG13662
HDC11474	---	---
HDC04619	---	---
HDC05714	---	---
S.CX000814	---	---
S.C3L000455	---	---
HDC16647	---	---
CG31424-RA	CG31424	CG31424
CG12667-RA	CG12667	CG12667
HDC20200	---	---
HDC02990	---	---
S.C3L000373	---	---
CT34038	---	---
CG10073-RA	CG10073	CG10073
HDC02112	---	---
